코드군,명칭,코드테이블,개별코드
ECM_USE_STOP_RELE_RCD,통관고유부호사용정지해제사유코드,,N
CSCL_LST_INSC_RSCD,통관목록검사결과코드,,N
CSCL_PSTP_RCD,통관보류사유코드,,N
CSCL_PSTP_TKAC_CD,통관보류조치코드,,N
CSCL_PSOF_CD,통관우체국코드,,N
CURR_CD,통화코드,TB_COM012M,Y
CLRV_RSCD,투시결과코드,,N
EV_TRGT_ENTS_INTP_CD,평가대상업체업종코드,,N
RWRD_KCD,포상종류코드,,N
PCK_KCD,포장종류코드,,N
SSPN_RLCD,피의자관계코드,,N
ULVS_CMDT_TPCD,하선물품구분코드,,N
ACAR_CD,학력코드,,N
KVN_FTA_QTY_UT_CD,한베트남FTA수량단위코드,,N
KVN_FTA_WGHT_UT_CD,한베트남FTA중량단위코드,,N
KVN_FTA_PCK_KCD,한베트남FTA포장종류코드,,N
KID_FTA_QTY_UT_CD,한인니FTA수량단위코드,,N
KID_FTA_WGHT_UT_CD,한인니FTA중량단위코드,,N
KID_FTA_PCK_KCD,한인니FTA포장종류코드,,N
AIR_QLFC_MDFY_CD,항공기자격정정코드,,N
AIR_KCD,항공기종류코드,,N
FLGH_ETPR_MDFY_ITEM_CD,항공입항정정항목코드,,N
VYG_TPCD,항해구분코드,,N
SEA_ETPR_MDFY_ITEM_CD,해상입항정정항목코드,,N
SEA_FLGH_TPCD,해상항공구분코드,,N
ADPN_PCD,행정제재유형코드,,N
PERM_ITT_TPCD,허가기관구분코드,,N
PERM_ACPT_TPCD,허가수리구분코드,,N
SPOT_TXFR_EXCU_CD,현장면세배제코드,,N
SSPT_TPCD,혐의자구분코드,,N
CNVN_TPCD,협정구분코드,,N
CNVN_TPCD_01,협정구분코드_01,,N
CNVN_TPCD_02,협정구분코드_02,,N
MRGE_RLCD,혼인관계코드,,N
CARG_INSC_TKAC_RSCD,화물검사조치결과코드,,N
CARG_TPCD,화물구분코드,,N
CARG_TPCD_01,화물구분코드_01,,N
CARG_TPCD_02,화물구분코드_02,,N
CARG_SELC_TPCD,화물선별구분코드,,N
CARG_CHRC_TPCD,화물특성구분코드,,N
CFRM_DSCL_CRCM_CD,확인적발경위코드,,N
DRWB_BSS_ISTM_TPCD,환급근거서류구분코드,,N
DRWB_TRGT_MDFY_WTHD_RCD,환급대상정정취하사유코드,,N
DRWB_TRGT_CFRM_APFM_DSMS_RCD,환급대상확인신청서기각사유코드,,N
DRWB_PSAD_OTST_TPCD,환급사후심사착수구분코드,,N
DRWB_PSAD_OTST_PLN_TPCD,환급사후심사착수방안구분코드,,N
DRWB_APLC_TPCD,환급신청인구분코드,,N
DRWB_DNDG_ITEM_TPCD,환급위험도항목구분코드,,N
DRWB_OCMT_ERR_CD,환급제증명오류코드,,N
DRWB_OCMT_ERR_CD_01,환급제증명오류코드_01,,N
DRWB_OCMT_ERR_CD_02,환급제증명오류코드_02,,N
DRWB_OCMT_ERR_CD_03,환급제증명오류코드_03,,N
